3,2000.7,7,4829.481026,4820.597121,106.4,211
3,2037,8,4822.948953,4771.610365,36.3,212
3,2568.3,9,4814.84398,4829.481026,531.3,213
4,1924.7,10,4889.100579,4822.948953,-643.6,214
4,1813.6,11,4790.240898,4814.84398,-111.1,215
4,1919.9,12,4833.39758,4889.100579,106.3,216
1,1769.8,1,4844.889347,4790.240898,-150.1,217
1,1985.7,2,4874.508849,4833.39758,215.9,218
1,2346.3,3,4859.731908,4844.889347,360.6,219
2,1875.7,4,4882.130314,4874.508849,-470.6,220
2,2013.1,5,4926.870916,4859.731908,137.4,221
2,2015.7,6,4854.492906,4882.130314,2.6,222
3,2098.2,7,4929.901768,4926.870916,82.5,223
3,2213.3,8,4904.334629,4854.492906,115.1,224
3,2776,9,4872.869758,4929.901768,562.7,225
4,2095.8,10,4947.602049,4904.334629,-680.2,226
4,1887.4,11,4856.397322,4872.869758,-208.4,227
4,2063.2,12,4874.762461,4947.602049,175.8,228
1,1982.7,1,4866.509405,4856.397322,-80.5,229
1,2118.3,2,4895.129737,4874.762461,135.6,230
1,2205.1,3,4892.439925,4866.509405,86.8,231
2,2217.5,4,4897.635932,4895.129737,12.4,232
2,2253.1,5,4924.784991,4892.439925,35.6,233
2,2188.7,6,4879.006538,4897.635932,-64.4,234
3,2404.9,7,4941.92435,4924.784991,216.2,235
3,2517.4,8,4924.578308,4879.006538,112.5,236
3,3113.9,9,4908.760272,4941.92435,596.5,237
4,2438.8,10,4989.170527,4924.578308,-675.1,238
4,2123.9,11,4908.303033,4908.760272,-314.9,239
4,2296.4,12,4948.857251,4989.170527,172.5,240
1,2336,1,4956.305704,4908.303033,39.6,241
1,2478.6,2,4969.477134,4948.857251,142.6,242
1,2475,3,4970.154923,4956.305704,-3.6,243
2,2465.3,4,4994.214731,4969.477134,-9.7,244
2,2501.2,5,5001.695921,4970.154923,35.9,245
2,2460.6,6,4969.3528,4994.214731,-40.6,246
3,2635.3,7,5029.436153,5001.695921,174.7,247
3,2752.9,8,5015.749296,4969.3528,117.6,248
3,3366.1,9,5025.12574,5029.436153,613.2,249
4,2528.5,10,5104.481376,5015.749296,-837.6,250
4,2231.8,11,5032.27051,5025.12574,-296.7,251
4,2430.7,12,5065.497527,5104.481376,198.9,252
1,2368.9,1,5062.414092,5032.27051,-61.8,253
1,2539.9,2,5046.398487,5065.497527,171,254
1,2595.6,3,5044.890348,5062.414092,55.7,255
2,2675.1,4,5041.465888,5046.398487,79.5,256
2,2665.2,5,5059.741153,5044.890348,-9.9,257
2,2726.7,6,5049.013452,5041.465888,61.5,258
3,2903.8,7,5119.61513,5059.741153,177.1,259
3,2948.3,8,5121.516226,5049.013452,44.5,260
3,3650.5,9,5108.325509,5119.61513,702.2,261
4,2829.9,10,5212.226641,5121.516226,-820.6,262
4,2545.4,11,5128.115716,5108.325509,-284.5,263
4,2746.3,12,5145.364611,5212.226641,200.9,264
1,2569.2,1,5159.692737,5128.115716,-177.1,265
1,2675.2,2,5167.071676,5145.364611,106,266
1,2793.8,3,5167.470649,5159.692737,118.6,267
2,2843.3,4,5168.015904,5167.071676,49.5,268
2,2798.1,5,5185.381761,5167.470649,-45.2,269
2,2848,6,5120.362517,5168.015904,49.9,270
3,3078.3,7,5211.81929,5185.381761,230.3,271
3,3185.1,8,5213.026388,5120.362517,106.8,272
3,3877.3,9,5205.507766,5211.81929,692.2,273
4,2963.1,10,5289.797228,5213.026388,-914.2,274
4,2622.9,11,5220.212129,5205.507766,-340.2,275
4,2782.9,12,5266.313756,5289.797228,160,276
1,2787.4,1,5292.508361,5220.212129,4.5,277
1,2879.3,2,5314.830228,5266.313756,91.9,278
1,2969.3,3,5294.77151,5292.508361,90,279
2,2964.4,4,5316.413398,5314.830228,-4.9,280
2,2984.4,5,5327.068123,5294.77151,20,281
2,2971,6,5303.10354,5316.413398,-13.4,282
3,3099.2,7,5353.921745,5327.068123,128.2,283
3,3252.9,8,5327.743786,5303.10354,153.7,284
3,4088.1,9,5320.269157,5353.921745,835.2,285
4,3036,10,5398.143676,5327.743786,-1052.1,286
4,2692.5,11,5298.157652,5320.269157,-343.5,287
4,2953.4,12,5354.602021,5398.143676,260.9,288
1,2804.1,1,5390.580892,5298.157652,-149.3,289
1,3026.2,2,5385.682961,5354.602021,222.1,290
1,3148.2,3,5373.463056,5390.580892,122,291
2,3120.4,4,5401.336208,5385.682961,-27.8,292
2,3150.1,5,5443.774814,5373.463056,29.7,293
2,3196.1,6,5403.39061,5401.336208,46,294
3,3346.8,7,5474.076833,5443.774814,150.7,295
3,3494,8,5458.769879,5403.39061,147.2,296
3,4301.3,9,5440.290218,5474.076833,807.3,297
4,3332.3,10,5552.346417,5458.769879,-969,298
4,2963.4,11,5447.016177,5440.290218,-368.9,299
4,3283.3,12,5499.647686,5552.346417,319.9,300
1,3010.1,1,5536.679217,5447.016177,-273.2,301
1,3239.8,2,5549.568078,5499.647686,229.7,302
1,3399,3,5560.555615,5536.679217,159.2,303
2,3333.5,4,5569.787713,5549.568078,-65.5,304
2,3433.6,5,5594.246932,5560.555615,100.1,305
2,3443.2,6,5553.099815,5569.787713,9.6,306
3,3591.4,7,5623.644468,5594.246932,148.2,307
3,3774.4,8,5595.883686,5553.099815,183,308
3,4684.7,9,5595.853558,5623.644468,910.3,309
4,3535.1,10,5691.703472,5595.883686,-1149.6,310
4,3142.9,11,5640.641962,5595.853558,-392.2,311
4,3212.5,12,5667.957566,5691.703472,69.6,312
1,3238.4,1,5675.722539,5640.641962,25.9,313
1,3349.2,2,5678.797322,5667.957566,110.8,314
1,3443.7,3,5676.47311,5675.722539,94.5,315
2,3413.8,4,5713.469991,5678.797322,-29.9,316
2,3411,5,5716.001753,5676.47311,-2.8,317
2,3327.8,6,5682.553411,5713.469991,-83.2,318
3,3530.5,7,5749.416148,5716.001753,202.7,319
3,3595.6,8,5741.144274,5682.553411,65.1,320
3,4908.6,9,5700.536368,5749.416148,1313,321
4,3560.7,10,5778.277745,5741.144274,-1347.9,322
4,2968.2,11,5653.01016,5700.536368,-592.5,323
4,3301.6,12,5681.38233,5778.277745,333.4,324
